Question,Question_Text,Option,Option_Text
Region,Where do you live?,0,UK
Region,Where do you live?,1,US
Q2,How frequently do you use instant messaging tools for group chat?,0,2-3 times a week
Q2,How frequently do you use instant messaging tools for group chat?,1,4-6 times a week
Q2,How frequently do you use instant messaging tools for group chat?,2,Daily
Q2,How frequently do you use instant messaging tools for group chat?,3,Never
Q2,How frequently do you use instant messaging tools for group chat?,4,Once a week
Q2,How frequently do you use instant messaging tools for group chat?,5,Rarely
Q3,Please mark which of the following tools you have used,0,Blackberry Messenger
Q3,Please mark which of the following tools you have used,1,Discord
Q3,Please mark which of the following tools you have used,2,Facebook Messenger
Q3,Please mark which of the following tools you have used,3,Google Hangouts
Q3,Please mark which of the following tools you have used,4,IMO
Q3,Please mark which of the following tools you have used,5,Instagram Direct
Q3,Please mark which of the following tools you have used,6,KIK
Q3,Please mark which of the following tools you have used,7,Kakaotalk
Q3,Please mark which of the following tools you have used,8,Line
Q3,Please mark which of the following tools you have used,9,Marco Polo
Q3,Please mark which of the following tools you have used,10,Signal
Q3,Please mark which of the following tools you have used,11,Skype
Q3,Please mark which of the following tools you have used,12,Slack
Q3,Please mark which of the following tools you have used,13,Snapchat
Q3,Please mark which of the following tools you have used,14,Telegram
Q3,Please mark which of the following tools you have used,15,Viber
Q3,Please mark which of the following tools you have used,16,WeChat
Q3,Please mark which of the following tools you have used,17,WhatsApp
Q3,Please mark which of the following tools you have used,18,iMessage
Q4,For what purposes do you use instant messaging tools for group communication?,0,Chatting
Q4,For what purposes do you use instant messaging tools for group communication?,1,Coordinating events
Q4,For what purposes do you use instant messaging tools for group communication?,2,No answer
Q4,For what purposes do you use instant messaging tools for group communication?,3,Topic-based discussions
Q4,For what purposes do you use instant messaging tools for group communication?,4,Work- or school-related activity
Q5,What do you like about using instant messaging tools for group communication?,0,Don't have to give out personal number
Q5,What do you like about using instant messaging tools for group communication?,1,Easy to control who is in the group
Q5,What do you like about using instant messaging tools for group communication?,2,Easy to lookup old messages
Q5,What do you like about using instant messaging tools for group communication?,3,Easy to share media
Q5,What do you like about using instant messaging tools for group communication?,4,Helps with privacy
Q5,What do you like about using instant messaging tools for group communication?,5,Less stressful than calling
Q5,What do you like about using instant messaging tools for group communication?,6,Messaging is fast
Q5,What do you like about using instant messaging tools for group communication?,7,No answer
Q5,What do you like about using instant messaging tools for group communication?,8,Not having to talk
Q5,What do you like about using instant messaging tools for group communication?,9,Simple or easy to use
Q5,What do you like about using instant messaging tools for group communication?,10,Status indicators
Q6,What do you dislike about using instant messaging tools for group communication?,0,Can't view user profile
Q6,What do you dislike about using instant messaging tools for group communication?,1,Inappropriate behavior
Q6,What do you dislike about using instant messaging tools for group communication?,2,Less face-to-face communication
Q6,What do you dislike about using instant messaging tools for group communication?,3,Message permanence
Q6,What do you dislike about using instant messaging tools for group communication?,4,Needs a reliable Internet connection
Q6,What do you dislike about using instant messaging tools for group communication?,5,No answer
Q6,What do you dislike about using instant messaging tools for group communication?,6,Not sure if the message was received
Q6,What do you dislike about using instant messaging tools for group communication?,7,Privacy concerns
Q6,What do you dislike about using instant messaging tools for group communication?,8,Textual communication is imprecise
Q6,What do you dislike about using instant messaging tools for group communication?,9,Too many different chat applications
Q6,What do you dislike about using instant messaging tools for group communication?,10,Too many messages to keep up with
Q6,What do you dislike about using instant messaging tools for group communication?,11,reputation
Q7,How do you choose which instant messaging tools to use for group communication?,0,Based on its features
Q7,How do you choose which instant messaging tools to use for group communication?,1,Based on reviews
Q7,How do you choose which instant messaging tools to use for group communication?,2,Based on what services or topics it is associated with
Q7,How do you choose which instant messaging tools to use for group communication?,3,Based on what tools are used at work or school
Q7,How do you choose which instant messaging tools to use for group communication?,4,Cost
Q7,How do you choose which instant messaging tools to use for group communication?,5,Cross-platform compatibility
Q7,How do you choose which instant messaging tools to use for group communication?,6,No answer
Q7,How do you choose which instant messaging tools to use for group communication?,7,Security
Q7,How do you choose which instant messaging tools to use for group communication?,8,Usability of the app
Q7,How do you choose which instant messaging tools to use for group communication?,9,What everyone else is using
Q7,How do you choose which instant messaging tools to use for group communication?,10,What i have always used
Q8,When using instant messaging tools for group communication who do you talk to?,0,Extended family members
Q8,When using instant messaging tools for group communication who do you talk to?,1,Friends
Q8,When using instant messaging tools for group communication who do you talk to?,2,I prefer not to answer
Q8,When using instant messaging tools for group communication who do you talk to?,3,Immediate/nuclear family members
Q8,When using instant messaging tools for group communication who do you talk to?,4,Other
Q8,When using instant messaging tools for group communication who do you talk to?,5,Work colleagues
Q9,how large are your instant messaging groups?,0,11-20 people
Q9,how large are your instant messaging groups?,1,20+ people
Q9,how large are your instant messaging groups?,2,3-5 people
Q9,how large are your instant messaging groups?,3,6-10 people
Q9,how large are your instant messaging groups?,4,My groups vary largely in size.
Q9,how large are your instant messaging groups?,5,Unsure / I prefer not to answer
Q11,Have you ever been removed from an instant messaging group without your permission?,0,No
Q11,Have you ever been removed from an instant messaging group without your permission?,1,Unsure / I prefer not to answer
Q11,Have you ever been removed from an instant messaging group without your permission?,2,Yes
Q12,please share why you were removed from an instant messaging group without your permission,0,As a joke
Q12,please share why you were removed from an instant messaging group without your permission,1,Because of my misbehavior
Q12,please share why you were removed from an instant messaging group without your permission,2,Due to lack of activity or end of social relationship
Q12,please share why you were removed from an instant messaging group without your permission,3,No answer
Q12,please share why you were removed from an instant messaging group without your permission,4,Uncertain
Q13,How did you feel after having been removed from an instant messaging group without your permission?,0,It was fine
Q13,How did you feel after having been removed from an instant messaging group without your permission?,1,It was hurtful
Q14,Should people ask the group for permission before inviting others to join an instant messaging group you are a member of?,0,It depends
Q14,Should people ask the group for permission before inviting others to join an instant messaging group you are a member of?,1,No
Q14,Should people ask the group for permission before inviting others to join an instant messaging group you are a member of?,2,Unsure / I prefer not to answer
Q14,Should people ask the group for permission before inviting others to join an instant messaging group you are a member of?,3,Yes
Q15,Why do you want other people to ask the group for permission before inviting others to join?,0,Ensure the person is a good fit for the group or topic (inter-personal)
Q15,Why do you want other people to ask the group for permission before inviting others to join?,1,No answer
Q15,Why do you want other people to ask the group for permission before inviting others to join?,2,Privacy considerations
Q16,When do you review the member list of an instant messaging group?,0,I check every now and then to see if anything has changed
Q16,When do you review the member list of an instant messaging group?,1,I never review the member list
Q16,When do you review the member list of an instant messaging group?,2,Unsure / I prefer not to answer
Q16,When do you review the member list of an instant messaging group?,3,When I first join a group
Q16,When do you review the member list of an instant messaging group?,4,When a member leaves the group
Q16,When do you review the member list of an instant messaging group?,5,When a new member joins the group
Q17,Have you ever been in an instant messaging group chat where one or more members of the group chat only rarely participate in the group conversation?,0,No
Q17,Have you ever been in an instant messaging group chat where one or more members of the group chat only rarely participate in the group conversation?,1,Unsure
Q17,Have you ever been in an instant messaging group chat where one or more members of the group chat only rarely participate in the group conversation?,2,Yes
Q18,How did you feel about having an instant messaging group chat where one or more members of the group chat only rarely participate in the group conversation?,0,It is OK
Q18,How did you feel about having an instant messaging group chat where one or more members of the group chat only rarely participate in the group conversation?,1,It is not OK
Q18,How did you feel about having an instant messaging group chat where one or more members of the group chat only rarely participate in the group conversation?,2,No answer
Q19,How comfortable are you with other members of an instant messaging group saving or sharing your conversations with non-members?,0,Extremely comfortable
Q19,How comfortable are you with other members of an instant messaging group saving or sharing your conversations with non-members?,1,Extremely uncomfortable
Q19,How comfortable are you with other members of an instant messaging group saving or sharing your conversations with non-members?,2,Neither comfortable nor uncomfortable
Q19,How comfortable are you with other members of an instant messaging group saving or sharing your conversations with non-members?,3,Somewhat comfortable
Q19,How comfortable are you with other members of an instant messaging group saving or sharing your conversations with non-members?,4,Somewhat uncomfortable
Q19,How comfortable are you with other members of an instant messaging group saving or sharing your conversations with non-members?,5,Unsure / I prefer not to answer
Q20,Are there topics that make you uncomfortable to read or discuss in instant messaging groups you are a member of?,0,Drug use
Q20,Are there topics that make you uncomfortable to read or discuss in instant messaging groups you are a member of?,1,Medical health
